Number,Bin,Description,Vendor,VMRS Code,Type,On Hand Total,Alt Part Num,Inter VMRS,Major VMRS,Minor VMRS,Prev PO Facility,Tank Facility,Order Price,Last Order Date,Reorder Qty,Reorder Point,Manufacturer,Avg Ship Days
3J-29-19,C 04,"PULLEY-DOOR,BAGGAGE",0000205791,000-000-000,Part,2.0,3J-29-19,000,000,000,00003,,$15.070,8/20/2018,4.00,2,,0
3J-29-24,GASKT SECT,TUBE ASM-STAB.W/ BUSH.PAINTED,0000205791,000-000-000,Part,0.0,3J-29-24,000,000,000,00003,,$171.140,1/1/1900,1.00,1,,0
3J-29-59,C 04,"PIN, CLEVIS",0000205791,000-000-000,SHOP SUPPLIES,11.0,3J-29-59PK,000,000,000,00003,,$0.000,8/18/2016,10.00,5,,0
3J-29-6,C 04,"YOKE, BAG DOOR PULLEY",0000205791,002-060-000,Part,10.0,3J-29-6,060,002,000,00003,,$6.460,8/7/2025,1.00,1,,0
3J-30-1,C 04,"CATCH, END",0000205791,000-000-000,Part,2.0,3J-30-1,000,000,000,00003,,$13.080,9/20/2016,1.00,1,,0
3J-30-11,,DOOR ASSEMBLY,0000205791,000-000-000,CRITICAL PART,0.0,3J-30-11,000,000,000,,,$0.000,1/1/1900,0.00,0,,0
3J-30-15,C 04,LOCK,0000205791,000-000-000,Part,1.0,3J-30-15,000,000,000,00003,,$106.650,1/1/1900,1.00,1,,0
3J-30-17,GASKT SECT,GASKET CATCH,0000205791,000-000-000,SHOP SUPPLIES,2.0,3J-30-17,000,000,000,00003,,$0.000,4/18/2016,1.00,1,,0
3J-30-18,,"HANDLE, RR ENGINE DOOR LATCH",0000205791,000-000-000,CRITICAL PART,0.0,3J-30-18,000,000,000,00003,,$40.430,1/1/1900,1.00,1,,0
3J-30-2,C 04,"CATCH, SERVICE DOOR",0000205791,000-000-000,Part,2.0,3J-30-2,000,000,000,00003,,$11.270,3/14/2016,1.00,1,,0
3J-30-45,C 04,"LATCH, BUMPER AND SERV DOOR",0000205791,000-000-000,Part,1.0,3J-30-45,000,000,000,00003,,$31.240,12/4/2012,1.00,1,,0
3J-30-55,C 04,"PIN, LOCK BODY ATTACHING",0000205791,000-000-000,SHOP SUPPLIES,4.0,3J-30-55,000,000,000,00003,,$0.000,1/1/1900,5.00,2,,0
3J-31-187,,"PANEL, EXTERIOR RH",0000205791,083-000-000,CRITICAL PART,0.0,3J-31-187,000,083,000,00003,,$101.290,1/1/1900,0.00,0,,0
3J-31-189,,"BAR, LOCKING UPPER",0000205791,000-000-000,CRITICAL PART,0.0,3J-31-189,000,000,000,,,$14.580,1/1/1900,0.00,0,,0
3J-31-190,,"ARM, LOCKING, LOWER",0000205791,000-000-000,CRITICAL PART,0.0,3J-31-190,000,000,000,,,$12.790,1/1/1900,0.00,0,,0
3J-31-191,,"DOOR, RH REAR",0000205791,000-000-000,CRITICAL PART,0.0,3J-31-191,000,000,000,,,$795.610,1/1/1900,0.00,0,,0
3J-31-194,,"PANEL, ENG. DOOR, FLUTED, LH",0000205791,083-000-000,CRITICAL PART,0.0,3J-31-194,000,083,000,,,$76.520,1/1/1900,0.00,0,,0
3J-31-195,,PANEL. UPPER,0000205791,000-000-000,CRITICAL PART,0.0,3J-31-195,000,000,000,,,$78.400,1/1/1900,0.00,0,,0
3J-31-198,C 04,BRACKET S/A-ANGLE,0000205791,000-000-000,Part,1.0,3J-31-198,000,000,000,00003,,$152.630,6/20/2013,1.00,1,,0
3J-31-285,,"PANEL, SIDE ENGINE SERVICE DOOR",0000205791,000-000-000,CRITICAL PART,0.0,3J-31-285,000,000,000,,,$83.380,1/1/1900,0.00,0,,0
3J-31-389,/DRHT,"CHANNEL, LIC PLATE, MOUNT",0000205791,000-000-000,Part,0.0,3J-31-389,000,000,000,00003,,$30.590,1/1/1900,1.00,1,,0
3J-31-444,,"SEAL, EMERGENCY HATCH",0000205791,000-000-000,CRITICAL PART,0.0,3J-31-444,000,000,000,,,$33.200,1/1/1900,0.00,0,,0
3J-3-201,,COVER,0000205791,000-000-000,CRITICAL PART,0.0,3J-3-201,000,000,000,,,$340.100,1/1/1900,1.00,1,,15
3J-32-289,,TRIM,0000205791,000-000-000,CRITICAL PART,0.0,3J-32-289,000,000,000,,,$10.000,1/1/1900,0.00,0,,15
3J-32-51,,"LATCH PAD, ASSY, ENTRANCE DOOR",0000205791,000-000-000,Part,0.0,3J-32-51,000,000,000,00003,,$127.610,1/1/1900,1.00,1,,0
3J-32-94,,LOCK BODY,0000205791,000-000-000,CRITICAL PART,0.0,3J-32-94,000,000,000,,,$74.180,1/1/1900,1.00,1,,0
3J-32-95,C 04,PIN-INTRANCE DOOR,0000999999,000-000-000,Part,2.0,3J-32-95,000,000,000,00102,,$9.960,1/1/1900,1.00,1,,0
3J-33-33,,"TIRE STRAP, SPARE TIRE",0000205791,000-000-000,Part,0.0,3J-33-33,000,000,000,00003,,$102.200,1/1/1900,0.00,0,,0
3J-33-50,C 05,"BOLTS, RUB RAIL MOUNT, PK OF 50",0000205791,000-000-000,SHOP SUPPLIES,19.0,3J-33-50PK,000,000,000,00003,,$0.000,1/1/1900,2.00,1,,0
3J-33-51,C 05,"BOLT, MOUNTING, SQ, 10PK",0000205791,000-000-000,SHOP SUPPLIES,12.0,3J-33-51PK,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
3J-33-59,,"DECAL, #0  5IN",0000205791,000-000-000,Part,0.0,3J-33-59,000,000,000,,,$0.000,1/1/1900,0.00,0,,0
3J-33-61,,"DECAL, NUMERIC",0000205791,000-000-000,CRITICAL PART,0.0,3J-33-61,000,000,000,,,$5.470,1/1/1900,0.00,0,,0
3J-33-63,,"DECAL, #1  5IN",0000205791,000-000-000,Part,0.0,3J-33-63,000,000,000,,,$0.000,1/1/1900,0.00,0,,0
3J-33-67,,"DECAL, #2  5IN",0000205791,000-000-000,Part,0.0,3J-33-67,000,000,000,00003,,$5.930,1/1/1900,0.00,0,,0
3J-33-71,,"DECAL, #3  5IN",0000205791,000-000-000,Part,0.0,3J-33-71,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
3J-33-75,,"DECAL, #4  5",0000205791,000-000-000,Part,0.0,3J-33-75,000,000,000,00003,,$0.000,1/1/1900,0.00,0,,0
3J-33-79,,"DECAL, #5  5IN",0000205791,000-000-000,Part,0.0,3J-33-79,000,000,000,,,$0.000,11/27/1996,0.00,0,,21
3J-33-83,,"DECAL, #6  5IN",0000205791,000-000-000,Part,0.0,3J-33-83,000,000,000,,,$0.000,1/1/1900,0.00,0,,0
3J-33-87,,"DECAL, #7  5IN",0000205791,000-000-000,Part,0.0,3J-33-87,000,000,000,,,$0.000,1/1/1900,0.00,0,,0
3J-33-91,,"DECAL, #8  5IN",0000205791,000-000-000,Part,0.0,3J-33-91,000,000,000,,,$0.000,1/1/1900,0.00,0,,0
3J-33-95,,"DECAL, #9  5IN",0000205791,000-000-000,Part,0.0,3J-33-95,000,000,000,,,$0.000,11/27/1996,0.00,0,,21
3J-34-10,C 05,"NOZZLE ASSY, FLUID SPRAYER",0000205791,051-035-001,Part,6.0,6396432,035,051,001,00003,,$47.310,5/20/2025,4.00,1,,14
3J-34-22,C 06,"MOTOR, WIPER,  LH, RH",0000205791,000-000-000,Part,2.0,3J-34-22,000,000,000,00003,,$188.920,10/15/2012,1.00,1,,0
3J-34-24,,O-RING,0000205791,000-000-000,Part,0.0,3J-34-24,000,000,000,,,$0.000,1/1/1900,0.00,0,,21
3J-34-25,,SPACER,0000205791,000-000-000,Part,0.0,3J-34-25,000,000,000,,,$0.000,1/1/1900,0.00,0,,0
3J-34-26,,RUBBER BUMPER,0000205791,000-000-000,Part,0.0,3J-34-26,000,000,000,,,$0.000,1/1/1900,1.00,1,,0
3J-34-27,,SLEEVE,0000205791,000-000-000,Part,0.0,3J-34-27,000,000,000,,,$0.000,1/1/1900,0.00,0,,0
3J-34-3,,"WIPER, ARM ASSEMBLY",0000205791,000-000-000,CRITICAL PART,0.0,3J-34-3,000,000,000,00003,,$178.220,1/1/1900,0.00,0,,0
3J-34-36,/DRHT,"WIPER ARM, IDLER, A & D MODEL",0000205791,083-144-000,Part,0.0,3J-34-36,144,083,000,00003,,$33.520,7/18/1990,1.00,1,,21
3J-34-38,F CORNER,WIPER BLADE ONLY,0000205791,083-143-000,Part,0.0,3J-34-38,143,083,000,00003,,$12.710,7/18/1990,1.00,1,,14
